date,post_id,type,message,reactions,comment_count,share_count,saves,post_reach,post_impressions,page_likes,post_clicks,negative_feedback,video_views_10s,hashtags
2026-01-01,fb_40000,video,Facebook sample post 1 focused on story,1390,9,51,16,29345,37836,12496,736,26,9553,#awareness #facebookmarketing #content
2026-01-02,fb_40001,link,Facebook sample post 2 focused on story,663,186,9,82,12697,13792,12533,1665,18,12577,#smallbusiness #campaign #community
2026-01-03,fb_40002,video,Facebook sample post 3 focused on announcement,252,103,212,53,11486,20997,12570,1635,26,13855,#socialstrategy #content #smallbusiness
2026-01-04,fb_40003,status,Facebook sample post 4 focused on how-to,1799,132,60,11,27556,36195,12601,382,41,6797,#smallbusiness #content #campaign
2026-01-05,fb_40004,photo,Facebook sample post 5 focused on story,128,52,70,78,25824,35381,12638,1290,34,3556,#awareness #facebookmarketing #smallbusiness
2026-01-06,fb_40005,video,Facebook sample post 6 focused on story,637,207,222,13,7429,9822,12676,59,39,6053,#socialstrategy #content #community
2026-01-07,fb_40006,photo,Facebook sample post 7 focused on how-to,1036,158,7,81,10195,12850,12703,773,40,2802,#community #campaign #facebookmarketing
2026-01-08,fb_40007,video,Facebook sample post 8 focused on how-to,1818,70,107,10,34548,43455,12703,1555,43,10365,#socialstrategy #smallbusiness #content
2026-01-09,fb_40008,video,Facebook sample post 9 focused on story,488,177,25,61,56950,59693,12738,1108,38,9486,#socialstrategy #content #awareness
2026-01-10,fb_40009,status,Facebook sample post 10 focused on offer,121,117,157,24,26375,33695,12766,1217,26,1146,#campaign #facebookmarketing #content
2026-01-11,fb_40010,status,Facebook sample post 11 focused on story,488,7,48,69,43598,49438,12766,712,12,12327,#content #awareness #brand
2026-01-12,fb_40011,status,Facebook sample post 12 focused on announcement,1513,193,96,20,21346,32233,12757,797,1,9405,#socialstrategy #content #brand
2026-01-13,fb_40012,status,Facebook sample post 13 focused on offer,1668,48,166,87,27159,30529,12787,733,1,9018,#facebookmarketing #smallbusiness #socialstrategy
2026-01-14,fb_40013,video,Facebook sample post 14 focused on announcement,292,168,147,7,33976,34945,12800,255,13,11545,#community #socialstrategy #campaign
2026-01-15,fb_40014,video,Facebook sample post 15 focused on offer,1880,170,179,84,16215,27046,12790,2091,40,9441,#facebookmarketing #awareness #socialstrategy
2026-01-16,fb_40015,status,Facebook sample post 16 focused on story,1450,9,197,69,26907,27055,12792,131,17,2382,#smallbusiness #socialstrategy #content
2026-01-17,fb_40016,photo,Facebook sample post 17 focused on offer,1031,143,132,13,17760,22288,12786,1406,23,4267,#community #awareness #smallbusiness
2026-01-18,fb_40017,status,Facebook sample post 18 focused on offer,261,142,224,79,41220,42291,12799,1073,11,1593,#community #awareness #brand
2026-01-19,fb_40018,status,Facebook sample post 19 focused on story,241,193,178,19,42504,47191,12818,1798,41,3886,#content #smallbusiness #facebookmarketing
2026-01-20,fb_40019,link,Facebook sample post 20 focused on how-to,1359,137,70,80,52510,63521,12855,1601,37,1074,#awareness #campaign #facebookmarketing
2026-01-21,fb_40020,status,Facebook sample post 21 focused on announcement,643,160,184,9,2394,6496,12878,2169,8,11941,#smallbusiness #content #facebookmarketing
2026-01-22,fb_40021,link,Facebook sample post 22 focused on offer,1871,118,155,33,25722,35176,12877,2117,33,7674,#community #brand #campaign
