date,post_id,post_type,caption,likes,comments,shares,saves,reach,impressions,followers,story_exits,story_replies,hashtags
2026-01-01,ig_10000,carousel,Instagram sample post 1 about storytelling,200,108,37,170,6631,10676,17998,0,0,#engagement #launch #brand
2026-01-02,ig_10001,reel,Instagram sample post 2 about product,989,125,66,119,30154,31094,18021,0,0,#brand #community #engagement
2026-01-03,ig_10002,reel,Instagram sample post 3 about tutorial,240,196,32,32,38760,43350,18035,0,0,#creator #engagement #community
2026-01-04,ig_10003,image,Instagram sample post 4 about storytelling,323,29,29,168,57653,62206,18066,0,0,#reel #engagement #growth
2026-01-05,ig_10004,image,Instagram sample post 5 about product,540,14,46,178,55702,56743,18075,0,0,#engagement #brand #creator
2026-01-06,ig_10005,story,Instagram sample post 6 about product,349,132,44,103,64073,71537,18109,95,13,#community #growth #engagement
2026-01-07,ig_10006,story,Instagram sample post 7 about tips,1073,165,112,94,44183,45148,18153,24,17,#brand #growth #reel
2026-01-08,ig_10007,story,Instagram sample post 8 about tutorial,1200,83,81,150,39459,40149,18160,89,56,#creator #brand #community
2026-01-09,ig_10008,reel,Instagram sample post 9 about product,1283,113,174,24,27144,34585,18173,0,0,#engagement #launch #brand
2026-01-10,ig_10009,reel,Instagram sample post 10 about tips,563,80,91,112,53772,58001,18195,0,0,#engagement #creator #launch
2026-01-11,ig_10010,carousel,Instagram sample post 11 about tips,1773,10,68,255,17646,22617,18195,0,0,#community #creator #brand
2026-01-12,ig_10011,reel,Instagram sample post 12 about tips,1189,185,65,200,51026,53616,18197,0,0,#marketing #launch #creator
2026-01-13,ig_10012,carousel,Instagram sample post 13 about tips,1748,193,138,225,45262,53076,18240,0,0,#creator #engagement #community
2026-01-14,ig_10013,image,Instagram sample post 14 about tips,174,104,142,97,55897,58081,18277,0,0,#growth #launch #marketing
2026-01-15,ig_10014,image,Instagram sample post 15 about tutorial,240,157,35,36,36123,42627,18293,0,0,#marketing #reel #engagement
2026-01-16,ig_10015,carousel,Instagram sample post 16 about tutorial,483,215,30,19,22337,26251,18289,0,0,#growth #marketing #reel
2026-01-17,ig_10016,carousel,Instagram sample post 17 about tutorial,782,117,65,34,46474,47934,18323,0,0,#brand #marketing #community
2026-01-18,ig_10017,image,Instagram sample post 18 about product,429,46,17,87,39949,47722,18366,0,0,#brand #growth #creator
2026-01-19,ig_10018,story,Instagram sample post 19 about tutorial,1102,76,69,197,12586,14380,18407,5,47,#growth #engagement #launch
2026-01-20,ig_10019,carousel,Instagram sample post 20 about storytelling,1633,116,48,71,7153,14730,18434,0,0,#growth #community #creator
2026-01-21,ig_10020,reel,Instagram sample post 21 about tips,617,149,11,226,56429,58828,18474,0,0,#engagement #launch #reel
2026-01-22,ig_10021,story,Instagram sample post 22 about tips,1605,60,162,23,33268,37756,18504,114,50,#engagement #launch #growth
2026-01-23,ig_10022,carousel,Instagram sample post 23 about tutorial,786,63,81,115,52225,55920,18529,0,0,#growth #reel #marketing
2026-01-24,ig_10023,story,Instagram sample post 24 about tutorial,816,69,20,102,4631,7142,18552,52,15,#creator #launch #brand
2026-01-25,ig_10024,image,Instagram sample post 25 about product,578,113,101,178,9169,12103,18554,0,0,#creator #community #engagement
2026-01-26,ig_10025,story,Instagram sample post 26 about product,130,129,75,250,3851,12417,18558,94,35,#community #growth #brand
2026-01-27,ig_10026,story,Instagram sample post 27 about product,985,98,115,184,38809,41173,18593,104,26,#community #launch #engagement
2026-01-28,ig_10027,image,Instagram sample post 28 about tips,756,100,143,174,50229,57485,18638,0,0,#brand #engagement #creator
2026-01-29,ig_10028,image,Instagram sample post 29 about tips,1718,97,136,200,56658,57248,18653,0,0,#engagement #brand #reel
2026-01-30,ig_10029,carousel,Instagram sample post 30 about tips,761,146,40,71,60957,65000,18651,0,0,#marketing #growth #reel
2026-01-31,ig_10030,story,Instagram sample post 31 about tutorial,944,148,119,199,21880,30673,18643,77,34,#reel #creator #community
2026-02-01,ig_10031,image,Instagram sample post 32 about tutorial,811,111,69,228,24968,33450,18635,0,0,#community #creator #reel
2026-02-02,ig_10032,reel,Instagram sample post 33 about tutorial,702,56,28,185,57786,58533,18660,0,0,#growth #creator #brand
2026-02-03,ig_10033,story,Instagram sample post 34 about tips,983,117,55,248,59339,61268,18670,21,16,#marketing #community #launch
2026-02-04,ig_10034,image,Instagram sample post 35 about product,1722,211,49,245,34646,40085,18681,0,0,#brand #launch #reel
2026-02-05,ig_10035,image,Instagram sample post 36 about tutorial,1704,57,174,188,54293,55842,18699,0,0,#marketing #engagement #community
2026-02-06,ig_10036,carousel,Instagram sample post 37 about product,1320,52,171,113,53332,61322,18704,0,0,#engagement #marketing #growth
2026-02-07,ig_10037,carousel,Instagram sample post 38 about product,336,20,121,220,51760,53470,18712,0,0,#marketing #launch #creator
2026-02-08,ig_10038,image,Instagram sample post 39 about product,953,132,30,219,41531,46594,18751,0,0,#brand #growth #reel
2026-02-09,ig_10039,carousel,Instagram sample post 40 about tutorial,734,152,166,210,10804,17694,18758,0,0,#community #brand #growth
2026-02-10,ig_10040,carousel,Instagram sample post 41 about storytelling,834,201,111,127,11861,19692,18768,0,0,#creator #launch #engagement
2026-02-11,ig_10041,image,Instagram sample post 42 about storytelling,1685,81,109,182,31219,35805,18761,0,0,#marketing #brand #engagement
